Wall time,Step,Value
1778049503.5834446,768000,-187.77548217773438
1778050517.1485217,1536000,-117.50492095947266
1778051394.3301136,2304000,-160.82107543945312
1778052148.3420632,3072000,-126.8564682006836
1778052925.5556154,3840000,-124.5859146118164
1778053662.9139175,4608000,-111.45408630371094
1778054447.8101997,5376000,-110.06731414794922
1778055192.3039565,6144000,-115.95525360107422
1778055983.6851227,6912000,-113.90855407714844
1778056694.2593565,7680000,-116.51129150390625
1778057473.501179,8448000,-106.02987670898438
1778058481.2092226,9216000,-102.43233489990234
1778059403.625443,9984000,-95.86450958251953
1778060349.8283274,10752000,-90.4160385131836
1778061251.2262368,11520000,-89.24374389648438
1778062127.1495147,12288000,-89.2627182006836
1778063122.1386647,13056000,-84.01427459716797
1778064014.6555033,13824000,-81.58345794677734
1778064857.6020818,14592000,-77.10698699951172
1778065704.4890406,15360000,-77.4578628540039
1778066547.6461504,16128000,-76.85919952392578
1778067387.5568318,16896000,-66.95716857910156
1778068169.418808,17664000,-68.19152069091797
1778069037.3357186,18432000,-66.460693359375
1778069929.4805377,19200000,-68.16297149658203
1778070795.8747368,19968000,-69.4642105102539
1778071671.5079155,20736000,-72.68876647949219
1778072576.531582,21504000,-66.05207824707031
1778073455.28581,22272000,-64.49329376220703
1778074320.940995,23040000,-58.568424224853516
1778075165.8673596,23808000,-62.10551071166992
1778076041.979722,24576000,-59.86281204223633
1778076723.2892685,25344000,-127.85413360595703
1778077767.4242134,26112000,-199.2425537109375
1778078641.5775034,26880000,-239.0693359375
1778079280.0685625,27648000,-155.44442749023438
1778079780.973798,28416000,-77.22322845458984
1778080295.3407445,29184000,-174.4212188720703
1778080846.2050076,29952000,-91.8153076171875
1778081463.7038298,30720000,-91.29331970214844
1778081986.1191518,31488000,-165.569580078125
1778082478.3305635,32256000,-82.20684051513672
1778083024.9903169,33024000,-80.33529663085938
1778083910.169504,33792000,-181.46263122558594
1778084451.0567522,34560000,-77.03095245361328
1778084885.8242052,35328000,-81.90589904785156
1778085770.9227993,36096000,-179.57656860351562
1778086671.652263,36864000,-154.91880798339844
1778087310.8760161,37632000,-181.18280029296875
1778087742.1657546,38400000,-96.59981536865234
1778088270.104991,39168000,-152.34063720703125
1778088694.6412828,39936000,-92.12821960449219
1778089188.6085353,40704000,-187.84597778320312
1778089631.3639264,41472000,-201.03765869140625
1778090117.7646868,42240000,-58.8333740234375
1778090575.7775285,43008000,-88.92168426513672
1778091054.2032406,43776000,-178.90870666503906
1778091497.30697,44544000,-105.07514953613281
1778092008.3111765,45312000,-88.49907684326172
1778092441.544633,46080000,-75.61748504638672
1778092964.7214968,46848000,-120.51192474365234
1778093420.420098,47616000,-73.2931137084961
1778093962.1859386,48384000,-81.19959259033203
1778094442.2268982,49152000,-82.73416900634766
1778094955.3763344,49920000,-74.29517364501953
1778095442.9243617,50688000,-58.06925582885742
1778095903.01381,51456000,-61.970951080322266
1778096433.4060254,52224000,-53.697025299072266
1778096903.5461168,52992000,-73.06511688232422
1778097467.726895,53760000,-55.24653625488281
1778097945.0978005,54528000,-82.11498260498047
1778098468.9590397,55296000,-69.78209686279297
1778099020.133899,56064000,-63.24321365356445
1778099596.3957455,56832000,-68.77228546142578
1778100117.429779,57600000,-66.0794906616211
1778100959.0284197,58368000,-50.927852630615234
1778101738.2694151,59136000,-89.5857925415039
1778102578.3086934,59904000,-147.14028930664062
1778103250.8828704,60672000,-151.66542053222656
1778103877.7891228,61440000,-123.95152282714844
1778104474.7833338,62208000,-71.93683624267578
1778105027.1346374,62976000,-102.0364990234375
1778105847.2732654,63744000,-132.1450958251953
1778106724.6048982,64512000,-77.46316528320312
1778107494.839699,65280000,-117.6099853515625
1778108187.2446556,66048000,-102.66178131103516
1778109257.381572,66816000,-75.3600082397461
1778111827.195212,67584000,-73.59043884277344
1778112387.3886712,68352000,-61.4700813293457
1778112986.036129,69120000,-85.60860443115234
1778113741.6319516,69888000,-87.69743347167969
1778114386.8178673,70656000,-96.51492309570312
1778115290.9023407,71424000,-55.304107666015625
1778116140.658773,72192000,-47.87646484375
1778117307.0638943,72960000,-59.016197204589844
1778118128.6371102,73728000,-79.9544448852539
1778118870.0145066,74496000,-70.96624755859375
1778119669.6019092,75264000,-122.99815368652344
1778120314.8039396,76032000,-123.70211029052734
1778120948.4944005,76800000,-101.13851165771484
1778121494.4227157,77568000,-62.62868118286133
1778122136.6036017,78336000,-67.73615264892578
1778123074.0170293,79104000,-121.516357421875
1778123990.2041423,79872000,-119.59834289550781
1778124799.8766098,80640000,-51.18159484863281
1778125524.2825532,81408000,-42.26184844970703
1778126358.4108834,82176000,-95.59957122802734
1778127545.755036,82944000,-89.93940734863281
1778128529.4390955,83712000,-64.12571716308594
1778129471.798507,84480000,-82.33062744140625
1778130471.5388703,85248000,-77.91512298583984
1778131643.1692486,86016000,-50.42949676513672
1778132872.1539047,86784000,-98.81880950927734
1778133835.6349373,87552000,-65.16011810302734
1778134797.366418,88320000,-88.6947250366211
1778136265.7002883,89088000,-68.95587158203125
1778137232.7791388,89856000,-81.26050567626953
1778138134.6009452,90624000,-50.78934097290039
1778139213.3579803,91392000,-37.13386535644531
1778140131.8538804,92160000,-98.52603149414062
1778141153.7158997,92928000,-96.16573333740234
1778141983.5079114,93696000,-98.78671264648438
1778143504.3396554,94464000,-117.74896240234375
1778145121.0409734,95232000,-85.8156967163086
1778146631.0698357,96000000,-77.3875732421875
1778148180.808998,96768000,-101.63655853271484
1778149678.5587897,97536000,-88.55445861816406
1778151241.9842193,98304000,-111.51573944091797
1778152387.8145027,99072000,-76.50444793701172
1778153351.9795692,99840000,-55.6026725769043
1778154669.1617541,100608000,-86.385498046875
1778155679.3433933,101376000,-87.7960205078125
1778156633.9289384,102144000,-55.98554229736328
1778157695.2693696,102912000,-47.28413009643555
1778158708.1255634,103680000,-119.24584197998047
1778160207.925683,104448000,-77.38825225830078
1778161549.6391711,105216000,-108.10535430908203
1778162522.8635428,105984000,-55.82880783081055
1778163656.110571,106752000,-75.1438980102539
1778164890.3018694,107520000,-33.631675720214844
1778165803.436452,108288000,-59.78109359741211
1778166927.0392032,109056000,-56.49530792236328
1778168167.0334632,109824000,-71.20797729492188
1778169793.523279,110592000,-67.1396713256836
1778171160.2009404,111360000,-62.03987503051758
1778172523.7072606,112128000,-67.14684295654297
1778173568.1410642,112896000,-54.20220184326172
1778174709.048612,113664000,-45.952972412109375
1778176021.2596948,114432000,-53.228641510009766
1778177371.0143614,115200000,-49.72587966918945
1778178307.5171397,115968000,-32.514892578125
1778179265.9596953,116736000,-79.29300689697266
1778180406.937983,117504000,-25.333141326904297
1778181404.7411697,118272000,-119.5046157836914
1778182136.2197473,119040000,-106.81410217285156
1778182825.4243188,119808000,-68.9042739868164
1778183562.750744,120576000,-81.49243927001953
1778184244.5443976,121344000,-173.91444396972656
1778185003.8672225,122112000,-101.4924087524414
1778185779.2124753,122880000,-50.15349197387695
1778186572.5511005,123648000,-94.82637023925781
1778187280.7736223,124416000,-143.10787963867188
1778187960.0855947,125184000,-101.76457977294922
1778188814.750366,125952000,-103.10944366455078
1778189516.0256066,126720000,-119.06890106201172
1778190349.4348545,127488000,-82.22925567626953
1778191046.3154259,128256000,-42.819454193115234
1778191905.0512943,129024000,-78.70204162597656
1778192739.3755152,129792000,-79.90216064453125
1778193626.4188168,130560000,-109.17859649658203
1778194492.9633248,131328000,-102.63443756103516
1778195246.2600234,132096000,-89.53089904785156
1778195932.9776611,132864000,-91.81973266601562
1778196611.850844,133632000,-88.41227722167969
1778197434.293637,134400000,-60.62345886230469
1778198263.079521,135168000,-55.22932434082031
1778198966.957006,135936000,-63.4918098449707
1778199848.8895879,136704000,-34.63753128051758
1778200696.4359274,137472000,-75.34870910644531
1778201488.4546506,138240000,-123.48855590820312
1778204097.4717538,139008000,-119.26602172851562
1778205189.3938243,139776000,-88.79163360595703
1778206005.435997,140544000,-109.36272430419922
1778206901.44744,141312000,-67.29456329345703
1778207786.6115704,142080000,-62.697139739990234
1778208699.253727,142848000,-70.51630401611328
1778209448.493895,143616000,-143.83644104003906
1778210149.9741623,144384000,-138.74984741210938
1778210835.6700556,145152000,-70.4043197631836
1778211740.0448775,145920000,-99.79972839355469
1778212372.6688774,146688000,-94.13045501708984
1778212987.1095989,147456000,-111.61274719238281
1778213559.0336533,148224000,-128.70741271972656
1778214215.9346435,148992000,-68.56814575195312
1778215206.9337616,149760000,-89.88237762451172
1778216176.7364428,150528000,-55.3155632019043
1778217222.0661047,151296000,-81.1109848022461
1778218135.8262782,152064000,-54.328208923339844
1778219021.3345666,152832000,-55.44971466064453
1778219959.7191484,153600000,-121.16608428955078
1778220863.1313667,154368000,-44.519020080566406
1778221809.0041823,155136000,-72.15526580810547
1778222589.1025627,155904000,-58.03593826293945
1778224022.8003666,156672000,-59.79241943359375
1778224967.1620023,157440000,-78.52433776855469
1778225772.5846453,158208000,-79.5279769897461
1778226594.7488194,158976000,-100.80514526367188
1778227432.7791598,159744000,-74.6599349975586
1778228304.6864574,160512000,-56.73518753051758
1778229206.0488875,161280000,-52.05286407470703
1778230057.7290432,162048000,-74.23983001708984
1778230946.3512003,162816000,-36.25827407836914
1778231778.6954834,163584000,-62.90030288696289
1778232554.1259937,164352000,-73.2511215209961
1778233603.9616392,165120000,-73.85466766357422
1778234550.4589639,165888000,-71.7538070678711
1778235442.3083408,166656000,-64.31073760986328
1778236124.1199005,167424000,-86.14515686035156
1778236930.5724795,168192000,-65.6883773803711
1778237730.1222687,168960000,-39.921897888183594
1778238489.5131636,169728000,-66.31147003173828
1778239288.2628245,170496000,-71.8612060546875
1778240043.6985977,171264000,-56.15296936035156
1778240940.7934783,172032000,-80.65834045410156
1778241820.6939373,172800000,-63.39407730102539
1778242581.299392,173568000,-74.73513793945312
