Wall time,Step,Value
1778049600.589875,768000,-186.24371337890625
1778050598.0792515,1536000,-129.58291625976562
1778051250.817966,2304000,-125.21333312988281
1778051915.9489915,3072000,-98.0427017211914
1778052444.5518765,3840000,-92.3204345703125
1778052927.4143536,4608000,-90.01470184326172
1778053426.7788265,5376000,-87.17684936523438
1778053949.0499032,6144000,-91.12122344970703
1778054478.6289353,6912000,-89.84536743164062
1778055001.7974143,7680000,-96.7454833984375
1778055537.8021226,8448000,-94.33316802978516
1778056072.8669393,9216000,-89.01248168945312
1778056555.0885494,9984000,-88.02103424072266
1778057058.7668686,10752000,-88.40693664550781
1778057651.9391687,11520000,-84.73562622070312
1778058451.1006231,12288000,-85.02902221679688
1778059096.8787632,13056000,-78.31489562988281
1778059734.8515353,13824000,-68.98519134521484
1778060389.6198287,14592000,-68.9563980102539
1778061054.3733819,15360000,-61.40456771850586
1778061912.1380365,16128000,-52.79465103149414
1778063078.2006552,16896000,-54.464385986328125
1778064053.6094995,17664000,-51.64225387573242
1778065003.9060388,18432000,-50.19955062866211
1778065982.695953,19200000,-47.88058853149414
1778066862.6029541,19968000,-49.55984878540039
1778067956.5459747,20736000,-45.87310791015625
1778068812.025666,21504000,-45.529056549072266
1778069645.5261528,22272000,-45.52543640136719
1778070639.078154,23040000,-44.12067413330078
1778071414.1106791,23808000,-46.08477020263672
1778072208.4400558,24576000,-46.27762222290039
1778073101.7216344,25344000,-44.02617645263672
1778074051.2822409,26112000,-43.150569915771484
1778075066.2322545,26880000,-46.670108795166016
1778075918.0298612,27648000,-40.991065979003906
1778076785.9531224,28416000,-41.73634719848633
1778077646.9488297,29184000,-39.32705307006836
1778078316.4134235,29952000,-37.70750045776367
1778079037.1924803,30720000,-38.25309753417969
1778079867.1718197,31488000,-40.88200759887695
1778080503.8570254,32256000,-35.34694290161133
1778081229.8379261,33024000,-51.68399429321289
1778082031.6574469,33792000,-55.136329650878906
1778082805.021452,34560000,-49.85344696044922
1778083544.7877698,35328000,-64.53845977783203
1778084380.4691024,36096000,-58.96437454223633
1778085254.7157805,36864000,-43.190467834472656
1778086176.1271596,37632000,-66.21450805664062
1778087018.8930156,38400000,-59.84747314453125
1778088160.6510215,39168000,-165.61724853515625
1778089256.0575492,39936000,-175.6475067138672
1778090174.0997787,40704000,-169.69805908203125
1778091100.8612092,41472000,-92.24764251708984
1778092013.1484585,42240000,-47.72665023803711
1778093008.1863742,43008000,-66.85415649414062
1778093827.898038,43776000,-57.246673583984375
1778094610.8750572,44544000,-183.4139862060547
1778095490.865761,45312000,-87.52256774902344
1778096309.2542005,46080000,-152.3231964111328
1778097123.833743,46848000,-146.51605224609375
1778098047.608645,47616000,-53.88642883300781
1778098865.0523574,48384000,-98.88167572021484
1778099624.4005196,49152000,-71.74463653564453
1778100217.594697,49920000,-155.62184143066406
1778100683.5600784,50688000,-89.9375
1778101164.567116,51456000,-104.7346420288086
1778101581.428262,52224000,-192.99844360351562
1778102091.090006,52992000,-100.9251937866211
1778102550.2182,53760000,-102.17444610595703
1778103005.6935623,54528000,-80.42887878417969
1778103505.8947165,55296000,-87.17279815673828
1778104055.0451617,56064000,-110.21491241455078
1778104512.6698914,56832000,-82.47532653808594
1778104947.5627513,57600000,-102.5885009765625
1778105363.053822,58368000,-122.41002655029297
1778105836.3255258,59136000,-72.28288269042969
1778106251.621488,59904000,-60.683223724365234
1778106721.7622106,60672000,-179.08091735839844
1778107113.813375,61440000,-96.25210571289062
1778107590.7209532,62208000,-162.5128936767578
1778108022.9184134,62976000,-97.88520050048828
1778108464.0132825,63744000,-57.67217254638672
1778108868.5086844,64512000,-194.4402618408203
1778109426.6107917,65280000,-105.08455657958984
1778111804.4943864,66048000,-59.85654830932617
1778112347.6175807,66816000,-198.50428771972656
1778112864.002413,67584000,-75.08486938476562
1778113344.1706312,68352000,-164.75332641601562
